Last name,First name,Birth year,Death year,Primary School,Nationality,Gender
Anscombe,Gertrude Elizabeth Margaret (G.E.M.),1919,2001,Analytical Thomism,Irish,Female
Aquinas,Thomas,1225,1274,Scholasticism,Italian-French,Male
Chesterton,Gilbert Keith (G.K.),1874,1936,Thomism,English,Male
Copleston,Frederick,1907,1994,Christian Philosophy,English,Male
Geach,Peter,1916,2013,Analytical Thomism,English,Male
Gilson,Ã‰tienne,1884,1978,Thomism,French,Male
Haldane,John,1954,Still living,Analytical Thomism,Scottish,Male
Maritain,Jacques,1882,1973,Existential Thomism,French,Male
Newman,John Henry,1801,1997,Aristotelianism,English,Male
Pieper,Josef,1904,1997,Thomism,German,
Simon,Yves,1903,1961,Catholic Political Philosophy,French,Male